"z","Y","std"
-0.4477,1,0.2313
-0.2433,0,0.2444
-0.0261,1,0.2093
-0.6874,0,0.2296
-1.0528,0,0.2586
-0.642,1,0.2285
-0.6042,1,0.2281
-0.375,1,0.235
-0.1642,1,0.2511
-0.4296,0,0.2321
-0.005,1,0.2088
-0.4243,0,0.2323
-0.6202,1,0.2282
-0.9929,0,0.2521
-0.0502,1,0.2099
-0.5632,0,0.2282
-0.7301,0,0.2312
-1.3413,0,0.2931
0.1453,1,0.206
-0.7133,0,0.2305
-0.5158,0,0.229
-0.7444,0,0.2319
0.8837,1,0.2147
-0.161,1,0.213
-0.4563,0,0.2309
-1.0339,0,0.2565
0.9537,1,0.2183
-0.4252,1,0.2323
-0.6704,0,0.2381
-0.5441,0,0.2284
-0.089,1,0.2109
-0.5964,1,0.2281
-0.6074,0,0.2281
-0.6937,0,0.2298
0.1323,1,0.2062
0.3206,1,0.2044
-0.2028,1,0.2478
-0.2702,1,0.2168
0.6913,1,0.2078
-0.0224,1,0.2092
0.2259,1,0.2051
-1.5674,0,0.3203
-0.4341,0,0.2319
-1.981,0,0.3394
-1.0668,0,0.326
-0.9762,0,0.2503
-0.3973,0,0.2338
0.7022,1,0.2081
-0.2638,1,0.2165
0.0717,1,0.2072
-0.6144,0,0.2282
-0.9226,0,0.245
-0.4305,1,0.2321
-0.5715,0,0.2281
-0.1475,1,0.2126
-0.0723,1,0.2592
0.4092,1,0.2043
-0.7797,0,0.2339
0.0248,0,0.2081
-0.4295,0,0.2321
-0.1173,1,0.2552
-0.4061,0,0.2333
0.9599,1,0.2187
-0.7732,0,0.2335
0.3566,1,0.2043
0.8032,1,0.2113
-0.1093,1,0.2115
-0.772,0,0.2334
0.4063,1,0.2043
-0.6556,0,0.2287
-1.6103,0,0.3299
-1.0105,0,0.254
-0.5269,0,0.2287
-0.5784,0,0.2281
-0.1027,1,0.2113
0.0176,1,0.2675
-0.6242,1,0.2282
-2.4826,0,0.3702
-0.9759,1,0.2503
-0.7501,0,0.2322
-0.3824,1,0.2346
-0.1561,1,0.2518
-0.0946,1,0.2572
-0.6327,0,0.2283
0.7339,1,0.209
-0.0793,1,0.2106
-0.3688,1,0.2354
-0.1838,1,0.2137
-1.1605,0,0.2712
0.9607,1,0.2187
-0.2467,0,0.2467
-0.044,1,0.2618
-1.7285,0,0.3322
-0.1529,1,0.2521
-0.9748,0,0.2502
0.5346,1,0.2051
0.124,1,0.2063
-0.6018,0,0.2281
0.2467,1,0.2049
-0.262,1,0.243
-0.3183,0,0.2186
-0.4333,0,0.2319
-0.2833,1,0.2413
0.3394,1,0.2043
-0.7579,0,0.2326
-1.2362,0,0.2803
-0.938,0,0.2465
7e-04,1,0.2087
0.0754,1,0.2072
-0.3328,0,0.2378
0.212,1,0.2052
0.0104,1,0.2085
-1.1401,0,0.2687
-0.2593,0,0.2163
-0.3611,0,0.2359
-0.7516,0,0.2323
-0.4208,1,0.2325
-0.5041,0,0.2293
-0.7699,0,0.2333
-0.5571,0,0.2283
-0.8445,0,0.2383
-1.8684,0,0.3556
0.6563,1,0.207
0.5418,1,0.2051
-0.3526,1,0.2364
-0.9057,0,0.2435
0.617,1,0.2062
-0.5759,1,0.2281
0.3891,1,0.2043
0.6911,1,0.2078
-0.5191,0,0.2289
-0.4066,0,0.2333
-0.257,1,0.2163
-0.6191,1,0.2282
-0.6128,0,0.2281
-0.1764,1,0.25
0.4544,1,0.2044
0.1975,1,0.2054
-0.7252,0,0.231
-0.2583,1,0.2163
0.2414,1,0.2049
0.4961,1,0.2047
0.2523,1,0.2048
-0.0727,1,0.2105
0.3418,1,0.2043
-0.2556,1,0.2435
1.0028,1,0.2213
-1.3709,0,0.3268
-1.077,0,0.2614
